# cluster 0 centroid,0.22532,0.0848059
# index,x0,x1
113,0.216052,0.0866387
427,0.239931,0.0883929
525,0.238739,0.0746511
801,0.206558,0.0895412
# cluster 1 centroid,0.798027,0.271228
# index,x0,x1
154,0.808977,0.243037
189,0.765599,0.294307
200,0.802456,0.275831
771,0.804135,0.260211
783,0.818351,0.287346
900,0.788646,0.266633
# cluster 2 centroid,0.518254,0.363414
# index,x0,x1
107,0.4945,0.391011
314,0.492989,0.362408
461,0.488556,0.358479
567,0.528291,0.361406
663,0.566065,0.36824
739,0.535264,0.335332
786,0.524018,0.354796
955,0.516348,0.375639
# cluster 3 centroid,0.968103,0.328079
# index,x0,x1
182,0.99139,0.341431
293,0.93697,0.339004
349,0.984198,0.327756
497,0.985673,0.299431
539,0.932263,0.295172
755,0.990751,0.324908
772,0.990421,0.354547
837,0.93803,0.311138
882,0.963232,0.359324
# cluster 4 centroid,0.33079,0.220218
# index,x0,x1
196,0.335373,0.196484
373,0.32046,0.227838
695,0.336538,0.236332
# cluster 5 centroid,0.235941,0.15043
# index,x0,x1
16,0.227154,0.152069
253,0.218888,0.149997
363,0.261384,0.127055
521,0.207987,0.134977
713,0.250793,0.169196
841,0.269495,0.162567
913,0.203818,0.150648
973,0.248007,0.156931
# cluster 6 centroid,0.796643,0.843027
# index,x0,x1
59,0.79451,0.858551
142,0.789822,0.791222
282,0.765614,0.853942
284,0.782357,0.812914
397,0.796766,0.882654
600,0.81835,0.870905
621,0.798924,0.808896
684,0.78104,0.884848
785,0.785969,0.821748
862,0.828551,0.886917
891,0.777843,0.833428
903,0.839971,0.810296
# cluster 7 centroid,0.278964,0.0738166
# index,x0,x1
611,0.299375,0.0975348
741,0.277459,0.0620406
896,0.260057,0.0618743
# cluster 8 centroid,0.830875,0.0438488
# index,x0,x1
94,0.804657,0.0722531
112,0.801749,0.0594135
137,0.850047,0.0634889
302,0.804445,0.0358097
337,0.855998,0.0175035
412,0.879922,0.0054392
501,0.802128,0.0207005
550,0.849819,0.0184406
649,0.846732,0.0457297
753,0.847054,0.0209837
812,0.782592,0.0287543
871,0.867959,0.0285921
883,0.814431,0.0792694
895,0.854091,0.0825188
994,0.801498,0.0788347
# cluster 9 centroid,0.76977,0.958695
# index,x0,x1
41,0.788452,0.936048
64,0.73759,0.922476
247,0.724577,0.999334
283,0.789964,0.96999
414,0.778078,0.910363
506,0.768212,0.986771
614,0.789937,0.985876
639,0.76511,0.954818
652,0.79085,0.961806
687,0.764931,0.959466
# cluster 10 centroid,0.472087,0.583918
# index,x0,x1
85,0.481768,0.573248
269,0.445645,0.598207
617,0.476113,0.58186
967,0.484821,0.582359
# cluster 11 centroid,0.300973,0.955111
# index,x0,x1
313,0.297821,0.938864
315,0.289997,0.937613
524,0.317825,0.945704
565,0.326533,0.985502
575,0.292209,0.95202
593,0.292822,0.965184
657,0.280905,0.931194
800,0.329742,0.946647
892,0.268773,0.937666
943,0.329677,0.994851
972,0.284394,0.970982
# cluster 12 centroid,0.168195,0.9809
# index,x0,x1
73,0.157453,0.954821
146,0.169379,0.99656
266,0.203053,0.992751
578,0.153326,0.959008
597,0.173665,0.985735
758,0.182615,0.978431
807,0.142955,0.999853
898,0.168073,0.974856
952,0.16324,0.986089
# cluster 13 centroid,0.718241,0.85295
# index,x0,x1
80,0.721807,0.806323
155,0.720425,0.880775
267,0.691766,0.853062
301,0.692856,0.891791
392,0.718433,0.872493
428,0.727856,0.843068
554,0.729552,0.803067
571,0.744539,0.841417
640,0.716939,0.884557
# cluster 14 centroid,0.393023,0.252597
# index,x0,x1
21,0.395132,0.240303
813,0.390914,0.264891
# cluster 15 centroid,0.28685,0.609941
# index,x0,x1
178,0.26472,0.60008
366,0.288516,0.602196
405,0.308869,0.621462
711,0.285293,0.616027
